top - 13:00:58 up 5 min,  2 users,  load average: 0.60, 0.50, 0.23
Tasks: 148 total,   1 running, 147 sleeping,   0 stopped,   0 zombie
%Cpu(s): 16.7 us,  0.0 sy,  0.0 ni, 83.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :    426.2 total,     43.9 free,    228.2 used,    205.4 buff/cache     
MiB Swap:    512.0 total,    512.0 free,      0.0 used.    198.0 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 1100 pi        20   0   12048   4644   2752 R  11.8   1.1   0:00.06 top
  925 pi        20   0  235672 101864  52684 S   5.9  23.3   0:13.30 node
    1 root      20   0   35700  10284   8196 S   0.0   2.4   0:04.62 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
    3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_work+
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
    5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
    7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
    9 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker/0+
   11 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker/0+
   12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks+
   15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks+
   16 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd+
   17 root      20   0       0      0      0 I   0.0   0.0   0:00.17 rcu_sched
   18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp_p+
   19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp_g+
   20 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration+
   21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
   22 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
   23 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration+
   24 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd+
   25 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/1+
   27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
   28 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration+
   29 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd+
   30 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2+
   32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
   33 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration+
   34 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd+
   37 root      20   0       0      0      0 I   0.0   0.0   0:01.36 kworker/u+
   38 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/u+
   39 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/u+
   40 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
   42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   43 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
   44 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
   45 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   46 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/u+
   47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   48 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kcompactd0
   49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   53 root      20   0       0      0      0 I   0.0   0.0   0:00.78 kworker/u+
   55 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker/1+
   56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   58 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   59 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker/3+
   60 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   61 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker/2+
   62 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kswapd0
   63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   65 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker/1+
   67 root      20   0       0      0      0 S   0.0   0.0   0:00.00 hwrng
   68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   69 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   70 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   71 root       1 -19       0      0      0 S   0.0   0.0   0:00.00 vchiq-slo+
   72 root       1 -19       0      0      0 S   0.0   0.0   0:00.00 vchiq-rec+
   73 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 vchiq-syn+
   74 root       0 -20       0      0      0 I   0.0   0.0   0:00.82 kworker/u+
   75 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
